Type,No.,Address,City,St.,Opened,Closed,County
Supercenter,660,301 Avalon Avenue,Muscle Shoals,Alabama,"July 19, 1995",,Colbert County
Neighborhood Market,3779,10188 Highway 431 South,New Hope,Alabama,"December 17, 2014","January 28, 2016",N/A
Discount Store,2306,5710 McFarland Boulevard,Northport,Alabama,"May 31, 1995","April 8, 2003",Tuscaloosa County
Supercenter,2306,5710 McFarland Boulevard,Northport,Alabama,"April 9, 2003",,Tuscaloosa County
Neighborhood Market,5248,"Northport Corners Shopping Center, 1660 McFarland Boulevard",Northport,Alabama,"August 31, 2016",,N/A
Discount Store,315,27550 Highway 75 South,Oneonta,Alabama,"October 14, 1980",August 1996,N/A
Supercenter,315,2453 2nd Avenue East,Oneonta,Alabama,August 1996,,Blount County
Discount Store,355,918 Columbus Parkway,Opelika,Alabama,"November 18, 1980","March 1, 1993",Lee County
Discount Store,355,"Pepperell Corners, 2500 Pepperell Parkway",Opelika,Alabama,"March 2, 1993","May 14, 2002",N/A
Supercenter,355,2900 Pepperell Parkway,Opelika,Alabama,"May 15, 2002",,Lee County
Neighborhood Market,5653,25241 Perdido Beach Boulevard,Orange Beach,Alabama,"May 18, 2011",,Baldwin County
Discount Store,809,900 Quintard Drive,Oxford,Alabama,"August 30, 1985","March 26, 1996",N/A
Supercenter,809,92 Plaza Lane,Oxford,Alabama,"March 27, 1996",,Calhoun County
Discount Store,740,"Ozark Square Shopping Center, 270 North Union Avenue",Ozark,Alabama,"July 4, 1981",1985,N/A
Discount Store,740,"Martindale Plaza, 401 Highway 231 South",Ozark,Alabama,1985,December 1993,N/A
Discount Store,740,1537 Highway 231 South,Ozark,Alabama,December 1993,"April 8, 2003",N/A
Supercenter,740,1537 Highway 231 South,Ozark,Alabama,"April 9, 2003",,N/A
Discount Store,423,3000 Montgomery Parkway,Pelham,Alabama,"December 1, 1981","May 23, 1995",N/A
Discount Store,423,3500 Pelham Parkway,Pelham,Alabama,"May 24, 1995","August 23, 2005",Shelby County
Supercenter,5262,2181 Pelham Parkway,Pelham,Alabama,"March 17, 2004",,Shelby County
Supercenter,5113,165 Vaughan Lane,Pell City,Alabama,"July 16, 2003",,St. Clair County
Discount Store,1284,800 22nd Avenue,Phenix City,Alabama,"April 3, 1989","August 18, 1998",N/A
Supercenter,1284,3700 Highway 280-431 North,Phenix City,Alabama,"August 19, 1998",,N/A
Neighborhood Market,5903,3864 Highway 80 West,Phenix City,Alabama,"January 20, 2016",,N/A
Discount Store,483,1722 East Main Street,Prattville,Alabama,"October 5, 1982","August 20, 1996",Autauga County
Supercenter,483,1903 Cobbs Ford Road,Prattville,Alabama,"August 21, 1996",,Autauga County
Discount Store,863,3077 US Highway 431,Roanoke,Alabama,"October 15, 1985","March 16, 2004",N/A
Supercenter,863,4180 US Highway 431,Roanoke,Alabama,"March 17, 2004",,N/A
Supercenter,6173,21141 Highway 59,Robertsdale,Alabama,"September 24, 2014",,N/A
Discount Store,403,15485 Highway 43,Russellville,Alabama,"November 3, 1981","January 25, 2005",Franklin County
Supercenter,403,13675 Highway 43,Russellville,Alabama,"January 26, 2005",,Franklin County
Discount Store,1212,727 Highway 43 South,Saraland,Alabama,"September 1, 1988","August 20, 1996",N/A
Supercenter,1212,1095 Industrial Parkway,Saraland,Alabama,"August 21, 1996",,Mobile County
